Id,close,coin,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
2158,0.0004913,,1,JordanManual,CCCAGG,0.0004946,0.0004913,0.0004946,MCRN,1513004400,2017-12-28 01:30:58.419200,0.0,0.0
2159,0.0004946,MCRN,1,JordanManual,CCCAGG,0.0004946,0.0004946,0.0004946,,1513004400,2017-12-26 23:53:31.538442,0.0,0.0
2160,0.0004935,MCRN,1,JordanManual,CCCAGG,0.0004935,0.0004935,0.0004935,,1513008000,2017-12-26 23:53:31.538442,0.0,0.0
2161,0.0004913,MCRN,1,JordanManual,CCCAGG,0.0004913,0.0004913,0.0004913,,1513011600,2017-12-26 23:53:31.538442,0.0,0.0
2162,0.0001724,,1,JordanManual,CCCAGG,0.0005101,0.00017,0.0004969,MCRN,1513015200,2017-12-28 01:30:58.419200,20159.6,3.43
2163,0.0004969,MCRN,1,JordanManual,CCCAGG,0.0004969,0.0004969,0.0004969,,1513015200,2017-12-26 23:53:31.538442,0.0,0.0
2164,0.00017,MCRN,1,JordanManual,CCCAGG,0.0005101,0.00017,0.0005101,,1513018800,2017-12-26 23:53:31.538442,20159.6,3.43
2165,0.0001724,MCRN,1,JordanManual,CCCAGG,0.0001724,0.0001724,0.0001724,,1513022400,2017-12-26 23:53:31.538442,0.0,0.0
2166,0.0001719,MCRN,1,JordanManual,CCCAGG,0.0001719,0.0001719,0.0001719,,1513026000,2017-12-26 23:53:31.538442,0.0,0.0
2167,0.0001673,,1,JordanManual,CCCAGG,0.0001719,0.0001673,0.0001719,MCRN,1513026000,2017-12-28 01:30:58.419200,0.0,0.0
2168,0.0001695,MCRN,1,JordanManual,CCCAGG,0.0001695,0.0001695,0.0001695,,1513029600,2017-12-26 23:53:31.538442,0.0,0.0
2169,0.0001673,MCRN,1,JordanManual,CCCAGG,0.0001673,0.0001673,0.0001673,,1513033200,2017-12-26 23:53:31.538442,0.0,0.0
2170,0.0001672,MCRN,1,JordanManual,CCCAGG,0.0001672,0.0001672,0.0001672,,1513036800,2017-12-26 23:53:31.538442,0.0,0.0
2171,0.0001671,,1,JordanManual,CCCAGG,0.0001691,0.0001671,0.0001672,MCRN,1513036800,2017-12-28 01:30:58.419200,0.0,0.0
2172,0.0001691,MCRN,1,JordanManual,CCCAGG,0.0001691,0.0001691,0.0001691,,1513040400,2017-12-26 23:53:31.538442,0.0,0.0
2173,0.0001671,MCRN,1,JordanManual,CCCAGG,0.0001671,0.0001671,0.0001671,,1513044000,2017-12-26 23:53:31.538442,0.0,0.0
2174,0.0001655,,1,JordanManual,CCCAGG,0.0001655,0.000163,0.0001639,MCRN,1513047600,2017-12-28 01:30:58.419200,0.0,0.0
2175,0.0001639,MCRN,1,JordanManual,CCCAGG,0.0001639,0.0001639,0.0001639,,1513047600,2017-12-26 23:53:31.538442,0.0,0.0
2176,0.000163,MCRN,1,JordanManual,CCCAGG,0.000163,0.000163,0.000163,,1513051200,2017-12-26 23:53:31.538442,0.0,0.0
2177,0.0001655,MCRN,1,JordanManual,CCCAGG,0.0001655,0.0001655,0.0001655,,1513054800,2017-12-26 23:53:31.538442,0.0,0.0
2178,0.0001657,MCRN,1,JordanManual,CCCAGG,0.0001657,0.0001657,0.0001657,,1513058400,2017-12-26 23:53:31.538442,0.0,0.0
2179,0.0001688,,1,JordanManual,CCCAGG,0.0001688,0.0001657,0.0001657,MCRN,1513058400,2017-12-28 01:30:58.419200,0.0,0.0
2180,0.0001678,MCRN,1,JordanManual,CCCAGG,0.0001678,0.0001678,0.0001678,,1513062000,2017-12-26 23:53:31.538442,0.0,0.0
2181,0.0001688,MCRN,1,JordanManual,CCCAGG,0.0001688,0.0001688,0.0001688,,1513065600,2017-12-26 23:53:31.538442,0.0,0.0
2182,0.0001687,MCRN,1,JordanManual,CCCAGG,0.0001687,0.0001687,0.0001687,,1513069200,2017-12-26 23:53:31.538442,0.0,0.0
2183,0.0001677,,1,JordanManual,CCCAGG,0.0001687,0.0001671,0.0001687,MCRN,1513069200,2017-12-28 01:30:58.419200,0.0,0.0
2184,0.0001671,MCRN,1,JordanManual,CCCAGG,0.0001671,0.0001671,0.0001671,,1513072800,2017-12-26 23:53:31.538442,0.0,0.0
2185,0.0001677,MCRN,1,JordanManual,CCCAGG,0.0001677,0.0001677,0.0001677,,1513076400,2017-12-26 23:53:31.538442,0.0,0.0
2186,0.0001694,,1,JordanManual,CCCAGG,0.0001718,0.0001673,0.0001673,MCRN,1513080000,2017-12-28 01:30:58.419200,0.0,0.0
2187,0.0001673,MCRN,1,JordanManual,CCCAGG,0.0001673,0.0001673,0.0001673,,1513080000,2017-12-26 23:53:31.538442,0.0,0.0
2188,0.0001718,MCRN,1,JordanManual,CCCAGG,0.0001718,0.0001718,0.0001718,,1513083600,2017-12-26 23:53:31.538442,0.0,0.0
2189,0.0001694,MCRN,1,JordanManual,CCCAGG,0.0001694,0.0001694,0.0001694,,1513087200,2017-12-26 23:53:31.538442,0.0,0.0
2190,0.0001707,MCRN,1,JordanManual,CCCAGG,0.0001707,0.0001707,0.0001707,,1513090800,2017-12-26 23:53:31.538442,0.0,0.0
2191,0.0001718,,1,JordanManual,CCCAGG,0.0001718,0.0001705,0.0001707,MCRN,1513090800,2017-12-28 01:30:58.419200,0.0,0.0
2192,0.0001705,MCRN,1,JordanManual,CCCAGG,0.0001705,0.0001705,0.0001705,,1513094400,2017-12-26 23:53:31.538442,0.0,0.0
2193,0.0001718,MCRN,1,JordanManual,CCCAGG,0.0001718,0.0001718,0.0001718,,1513098000,2017-12-26 23:53:31.538442,0.0,0.0
