CoinName,PreMinedValue,Name,Algorithm,FullyPremined,Url,ImageUrl,Id,ProofType,Sponsored,SortOrder,TotalCoinSupply,FullName,TotalCoinsFreeFloat,Symbol,source,timestamp_api_call
AlpaCoin,N/A,APC,N/A,0,/coins/apc/overview,/media/350956/apc.png,20722,PoW,False,563,N/A,AlpaCoin (APC),N/A,APC,cryptocompare,2017-12-26 13:58:56.420913
ApexCoin,N/A,APEX,X13,0,/coins/apex/overview,/media/19599/apex.png,4330,PoW/PoS,False,43,6000000,ApexCoin (APEX),N/A,APEX,cryptocompare,2017-12-26 13:58:56.420913
AppCoins,N/A,APPC,N/A,0,/coins/appc/overview,/media/12318370/app.png,346812,N/A,False,1726,450000000,AppCoins (APPC),N/A,APPC,cryptocompare,2017-12-26 13:58:56.420913
Aptcoin,N/A,APT,Scrypt-n,0,/coins/apt/overview,/media/1382945/apt.png,60419,PoW,False,1160,42000000,Aptcoin (APT),N/A,APT,cryptocompare,2017-12-26 13:58:56.420913
Apx,N/A,APX,N/A,0,/coins/apx/overview,/media/1383235/apx.png,74912,N/A,False,1208,1000000,Apx (APX),N/A,APX,cryptocompare,2017-12-26 13:58:56.420913
Ar.cash,N/A,AR*,SHA256,0,/coins/arstar/overview,/media/14913465/ar.png,251598,PoW,False,1543,N/A,Ar.cash (AR*),N/A,AR*,cryptocompare,2017-12-26 13:58:56.420913
Arbit Coin,N/A,ARB,N/A,0,/coins/arb/overview,/media/20645/arb.png,7599,PoW/PoS,False,435,0,Arbit Coin (ARB),N/A,ARB,cryptocompare,2017-12-26 13:58:56.420913
Arbi,N/A,ARBI,Ethash,0,/coins/arbi/overview,/media/12318258/arbi.png,334856,N/A,False,1663,50000,Arbi (ARBI),N/A,ARBI,cryptocompare,2017-12-26 13:58:56.420913
ArcticCoin,N/A,ARC,X11,0,/coins/arc/overview,/media/1383824/arc.png,188615,PoW,False,1370,60000000,ArcticCoin (ARC),N/A,ARC,cryptocompare,2017-12-26 13:58:56.420913
 Arcade City,N/A,ARC*,N/A,0,/coins/arcstar/overview,/media/16746547/arc.png,435659,N/A,False,1930,9525398, Arcade City (ARC*),N/A,ARC*,cryptocompare,2017-12-26 13:58:56.420913
ArchCoin,N/A,ARCH,Scrypt,0,/coins/arch/overview,/media/20085/arch.png,4331,PoS,False,44,16403135,ArchCoin (ARCH),N/A,ARCH,cryptocompare,2017-12-26 13:58:56.420913
AquariusCoin,N/A,ARCO,Scrypt,0,/coins/arco/overview,/media/352134/arco.png,34506,PoW/PoS,False,943,42000000,AquariusCoin (ARCO),N/A,ARCO,cryptocompare,2017-12-26 13:58:56.420913
Ardor,N/A,ARDR,N/A,1,/coins/ardr/overview,/media/351736/ardr.png,30173,PoS,False,842,1000000000,Ardor (ARDR),N/A,ARDR,cryptocompare,2017-12-26 13:58:56.420913
Arena,N/A,ARENA,N/A,0,/coins/arena/overview,/media/12318225/arena.png,201896,N/A,False,1422,14000000,Arena (ARENA),N/A,ARENA,cryptocompare,2017-12-26 13:58:56.420913
Argentum,N/A,ARG,Scrypt,0,/coins/arg/overview,/media/19602/arg.png,4371,PoW,False,45,64000000,Argentum (ARG),N/A,ARG,cryptocompare,2017-12-26 13:58:56.420913
ArgusCoin,N/A,ARGUS,Scrypt,0,/coins/argus/overview,/media/1383149/argus.png,70352,PoW/PoS,False,1194,28600000,ArgusCoin (ARGUS),N/A,ARGUS,cryptocompare,2017-12-26 13:58:56.420913
AriCoin,N/A,ARI,Scrypt,0,/coins/ari/overview,/media/20082/ari.png,4332,PoW,False,46,322649400,AriCoin (ARI),N/A,ARI,cryptocompare,2017-12-26 13:58:56.420913
BeckSang,N/A,ARI*,N/A,0,/coins/aristar/overview,/media/9350704/ari.png,235221,N/A,False,1506,5000000000,BeckSang (ARI*),N/A,ARI*,cryptocompare,2017-12-26 13:58:56.420913
ARK,N/A,ARK,DPoS,0,/coins/ark/overview,/media/351931/ark.png,32699,DPoS,False,885,125000000,ARK (ARK),N/A,ARK,cryptocompare,2017-12-26 13:58:56.420913
