Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
36351,False,6931.0,https://www.facebook.com/atfslab/,"ATFS Lab., Iimited",Facebook,cryptocompare,ATFS,375855,2942.0,2017-12-30 17:56:25.396498
80,False,60.0,https://www.facebook.com/atokenico/,A-Token,Facebook,cryptocompare,ATKN,310392,2.0,2017-12-30 17:56:12.239247
13651,False,13151.0,https://www.facebook.com/atlantplatform/,Atlant Real Estate Platform,Facebook,cryptocompare,ATL,235213,50.0,2017-12-30 17:56:00.893124
0,,,,,Facebook,cryptocompare,ATM,28023,,2017-12-30 17:56:03.234404
0,,,,,Facebook,cryptocompare,ATMS,61902,,2017-12-30 17:56:49.363872
0,,,,,Facebook,cryptocompare,ATOM,29721,,2017-12-30 17:56:10.162362
398,False,348.0,https://www.facebook.com/tendermint/,Tendermint,Facebook,cryptocompare,ATOM*,199107,5.0,2017-12-30 17:55:50.047016
19239,False,18769.0,https://www.facebook.com/authorshipcom/,Authorship.com,Facebook,cryptocompare,ATS,345017,47.0,2017-12-30 17:56:18.818431
0,,,,,Facebook,cryptocompare,ATX,33871,,2017-12-30 17:56:17.019637
0,,,,,Facebook,cryptocompare,AUR,4333,,2017-12-30 17:56:32.109157
4432,False,1552.0,https://www.facebook.com/officialaureus/,Aureus,Facebook,cryptocompare,AURS,341400,288.0,2017-12-30 17:56:18.833461
1142,False,1142.0,https://www.facebook.com/autoriacoin/,Autoria,Facebook,cryptocompare,AUT,206001,0.0,2017-12-30 17:55:50.841721
10661,False,2091.0,https://www.facebook.com/authoreon/,Authoreon.io,Facebook,cryptocompare,AUTH,222200,857.0,2017-12-30 17:55:59.246210
0,,,,,Facebook,cryptocompare,AV,38026,,2017-12-30 17:56:24.649173
642,False,622.0,https://www.facebook.com/avalonplatform/,Avalon Platform,Facebook,cryptocompare,AVA,248300,2.0,2017-12-30 17:56:02.366480
