Id,Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
177,18.0,44.0,4654,1730.0,18.0,CryptoCompare,cryptocompare,EQT,105263,2017-12-28 01:43:12.645309
178,18.0,44.0,4657,1730.0,18.0,CryptoCompare,cryptocompare,EQT,105263,2017-12-28 08:23:28.218787
179,2.0,38.0,3558,1070.0,4.0,CryptoCompare,cryptocompare,ERY,42694,2017-12-28 08:23:29.037930
180,2.0,38.0,3557,1070.0,4.0,CryptoCompare,cryptocompare,ERY,42694,2017-12-28 01:43:13.573142
181,23.0,49.0,2985,2055.0,24.0,CryptoCompare,cryptocompare,ESP,130951,2017-12-27 21:37:01.865939
182,23.0,49.0,2989,2055.0,24.0,CryptoCompare,cryptocompare,ESP,130951,2017-12-28 00:03:01.008089
183,23.0,49.0,2988,2055.0,24.0,CryptoCompare,cryptocompare,ESP,130951,2017-12-27 23:18:46.312150
184,23.0,49.0,3005,2055.0,24.0,CryptoCompare,cryptocompare,ESP,130951,2017-12-28 08:23:30.090472
185,23.0,49.0,2991,2055.0,24.0,CryptoCompare,cryptocompare,ESP,130951,2017-12-28 01:43:14.180546
186,,2.0,162,75.0,1.0,CryptoCompare,cryptocompare,ETBT,431142,2017-12-28 08:23:30.583827
187,,2.0,160,75.0,1.0,CryptoCompare,cryptocompare,ETBT,431142,2017-12-28 01:43:14.591990
188,1205.0,7747.0,1013669,229775.0,962.0,CryptoCompare,cryptocompare,ETC,5324,2017-12-28 01:43:14.995308
189,1205.0,7759.0,1014819,230050.0,961.0,CryptoCompare,cryptocompare,ETC,5324,2017-12-28 08:23:30.882130
190,59070.0,42872.0,13730146,2192900.0,21213.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 19:39:26.817591
191,59087.0,42883.0,13732333,2193395.0,21215.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 20:52:45.980472
192,59098.0,42905.0,13736294,2194155.0,21219.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 22:57:11.051927
193,59062.0,42837.0,13724061,2191695.0,21203.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 15:53:43.015438
194,59092.0,42901.0,13734724,2193995.0,21219.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 22:03:23.977934
195,59137.0,43017.0,13760106,2197795.0,21237.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-28 08:23:31.829994
196,59064.0,42846.0,13725825,2192040.0,21207.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 16:42:17.235124
197,59067.0,42860.0,13728666,2192520.0,21211.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 18:32:30.184739
198,59068.0,42870.0,13729612,2192805.0,21212.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 19:23:53.653924
199,59067.0,42858.0,13728193,2192445.0,21210.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 18:13:48.606526
200,59107.0,42922.0,13742827,2194845.0,21226.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-28 01:43:15.400754
201,59090.0,42898.0,13733983,2193900.0,21219.0,CryptoCompare,cryptocompare,ETH,7605,2017-12-27 21:39:12.933760
202,,7.0,325,175.0,,CryptoCompare,cryptocompare,ETHB,412197,2017-12-28 01:43:16.290498
203,,7.0,326,175.0,,CryptoCompare,cryptocompare,ETHB,412197,2017-12-28 08:23:32.317596
204,12.0,71.0,6688,2320.0,17.0,CryptoCompare,cryptocompare,ETHD,310754,2017-12-28 01:43:16.867017
205,12.0,71.0,6749,2320.0,17.0,CryptoCompare,cryptocompare,ETHD,310754,2017-12-28 08:23:33.660193
206,4.0,27.0,4578,865.0,6.0,CryptoCompare,cryptocompare,ETHS,20448,2017-12-28 01:43:17.798958
207,4.0,27.0,4582,865.0,6.0,CryptoCompare,cryptocompare,ETHS,20448,2017-12-28 08:23:34.680709
208,714.0,1491.0,230266,52565.0,326.0,CryptoCompare,cryptocompare,ETN,361881,2017-12-28 01:43:18.217043
209,715.0,1495.0,231553,52650.0,325.0,CryptoCompare,cryptocompare,ETN,361881,2017-12-28 08:23:35.172577
210,319.0,361.0,77394,19965.0,310.0,CryptoCompare,cryptocompare,ETP,328639,2017-12-28 08:23:36.220229
211,319.0,362.0,77261,19940.0,308.0,CryptoCompare,cryptocompare,ETP,328639,2017-12-28 01:43:18.965066
212,5.0,34.0,3846,1775.0,35.0,CryptoCompare,cryptocompare,ETT,62529,2017-12-28 08:23:37.356124
213,5.0,34.0,3842,1775.0,35.0,CryptoCompare,cryptocompare,ETT,62529,2017-12-28 01:43:19.720014
214,1.0,23.0,2222,610.0,1.0,CryptoCompare,cryptocompare,EUC,34849,2017-12-28 08:23:38.378508
215,1.0,23.0,2209,610.0,1.0,CryptoCompare,cryptocompare,EUC,34849,2017-12-28 01:43:20.739435
216,,4.0,794,100.0,,CryptoCompare,cryptocompare,EVENT,5405,2017-12-28 08:23:39.302198
217,,4.0,786,100.0,,CryptoCompare,cryptocompare,EVENT,5405,2017-12-28 01:43:21.646350
218,,5.0,1003,150.0,1.0,CryptoCompare,cryptocompare,EVIL,22272,2017-12-28 08:23:40.187651
219,,7.0,1345,175.0,0.0,CryptoCompare,cryptocompare,EVR,340966,2017-12-28 01:43:22.599482
220,,7.0,1350,175.0,0.0,CryptoCompare,cryptocompare,EVR,340966,2017-12-28 08:23:41.051550
221,75.0,345.0,85737,11075.0,68.0,CryptoCompare,cryptocompare,EVX,194883,2017-12-28 01:43:23.592818
222,75.0,345.0,85795,11075.0,68.0,CryptoCompare,cryptocompare,EVX,194883,2017-12-28 08:23:41.774177
223,,3.0,409,100.0,1.0,CryptoCompare,cryptocompare,EXB,25925,2017-12-28 08:23:42.388630
