Id,closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
39,0.0,2.0,2.0,1494061223.0,false,6.0,C++,1495686805.0,1506691180.0,4.0,0.0,4,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",3590,CodeRepository,cryptocompare,3.0,4.0,INSN,105284,2017-12-28 00:02:20.895734,https://github.com/CryptoCoderz/INSN
40,203.0,183.0,386.0,1339561106.0,True,1427.0,C++,1514252527.0,1514383757.0,19.0,6.0,25.0,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",98284.0,CodeRepository,cryptocompare,2432.0,466.0,LTC,3808,2017-12-27 15:53:42.710611,https://github.com/litecoin-project/litecoin
41,203.0,183.0,386.0,1339561106.0,true,1434.0,C++,1514252527.0,1514416950.0,19.0,6.0,25,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",98284,CodeRepository,cryptocompare,2436.0,470.0,LTC,3808,2017-12-27 23:04:28.113304,https://github.com/litecoin-project/litecoin
42,203.0,183.0,386.0,1339561106.0,True,1431.0,C++,1514252527.0,1514412680.0,19.0,6.0,25.0,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",98284.0,CodeRepository,cryptocompare,2434.0,468.0,LTC,3808,2017-12-27 16:42:16.642670,https://github.com/litecoin-project/litecoin
43,203.0,183.0,386.0,1339561106.0,True,1431.0,C++,1514252527.0,1514416950.0,19.0,6.0,25.0,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",98284.0,CodeRepository,cryptocompare,2436.0,468.0,LTC,3808,2017-12-27 19:40:49.302137,https://github.com/litecoin-project/litecoin
44,0.0,2.0,2.0,1422654350.0,false,2.0,C++,1466185964.0,1484515438.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5950,CodeRepository,cryptocompare,1.0,3.0,LYB,13281,2017-12-28 00:03:07.737294,https://github.com/Lyrabar/Lyrabar
45,0.0,0.0,0.0,1439728382.0,false,0.0,C++,1439764940.0,1439728557.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",4768,CodeRepository,cryptocompare,0.0,1.0,MAD,131079,2017-12-28 00:03:02.206290,https://github.com/playpossat/blocksattime
46,0.0,0.0,0.0,1441573500.0,false,1.0,C++,1441573564.0,1499259649.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2852,CodeRepository,cryptocompare,1.0,1.0,MAPC,12223,2017-12-28 00:02:47.073007,https://github.com/mapcoindev/MAPCOIN
47,0.0,0.0,0.0,1494247724.0,false,0.0,C++,1494247738.0,1494247742.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1891,CodeRepository,cryptocompare,0.0,0.0,MAT*,108094,2017-12-28 00:02:34.880352,https://github.com/Manetcoin/mat-source
48,0.0,0.0,0.0,1437072207.0,false,3.0,C++,1440938233.0,1437072938.0,1.0,0.0,1,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",4212,CodeRepository,cryptocompare,0.0,1.0,MI,12225,2017-12-28 00:02:48.192964,https://github.com/xiaomicoin/Xiaomicoin
49,0.0,0.0,0.0,1488531055.0,false,1.0,C++,1488531095.0,1488531098.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1303,CodeRepository,cryptocompare,0.0,0.0,NEF,112405,2017-12-28 00:02:38.859262,https://github.com/nefcoindev/NEF
50,29.0,434.0,463.0,1476628360.0,false,38.0,Python,1508751049.0,1507858692.0,7.0,0.0,7,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",9133,CodeRepository,cryptocompare,170.0,47.0,QRL,127667,2017-12-28 00:02:50.840375,https://github.com/theQRL/QRL
51,,,,,undefined,0.0,undefined,,,,,undefined,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",undefined,CodeRepository,cryptocompare,0.0,0.0,QTUM,112392,2017-12-28 00:02:38.245906,undefined
52,995.0,1404.0,2399.0,1413568225.0,false,258.0,Go,1513202637.0,1513197082.0,106.0,28.0,134,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",19983,CodeRepository,cryptocompare,1861.0,236.0,SC,13072,2017-12-28 00:02:57.713108,https://github.com/NebulousLabs/Sia
53,17.0,259.0,276.0,1479766519.0,false,18.0,C++,1508740276.0,1508331917.0,29.0,3.0,32,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",79764,CodeRepository,cryptocompare,11.0,14.0,SEQ,131112,2017-12-28 00:03:04.664453,https://github.com/duality-solutions/Dynamic
54,2.0,8.0,10.0,1494175269.0,false,7.0,Go,1500453504.0,1508178393.0,12.0,0.0,12,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2657,CodeRepository,cryptocompare,36.0,24.0,SNM,136244,2017-12-28 00:03:10.812015,https://github.com/sonm-io/insonmnia
55,158.0,184.0,342.0,1465831923.0,false,51.0,Go,1508754581.0,1508656413.0,74.0,9.0,83,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",25441,CodeRepository,cryptocompare,194.0,47.0,SNT,137013,2017-12-28 00:03:13.958694,https://github.com/status-im/status-go
56,0.0,0.0,0.0,1461583510.0,false,0.0,C,1461587073.0,1461583651.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2579,CodeRepository,cryptocompare,0.0,1.0,SUB*,100944,2017-12-28 00:01:06.408730,https://github.com/SubcriptioDEV/Subcriptio
57,5.0,44.0,49.0,1439320021.0,false,41.0,C++,1501298869.0,1510508758.0,6.0,3.0,9,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",7215,CodeRepository,cryptocompare,7.0,11.0,TX,13045,2017-12-28 00:02:55.760154,https://github.com/transferdev/Transfercoin
58,0.0,0.0,0.0,1492799790.0,false,0.0,C++,1493462585.0,1492799847.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",21593,CodeRepository,cryptocompare,0.0,0.0,USC,100954,2017-12-28 00:01:07.408858,https://github.com/SilentTrader/UltimateSecureCash
59,0.0,0.0,0.0,1494273008.0,False,0.0,C++,1494273032.0,1497209213.0,0.0,0.0,0.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1952.0,CodeRepository,cryptocompare,1.0,0.0,XPS,105220,2017-12-27 21:22:51.949684,https://github.com/ivycoindev/ivy
60,18.0,23.0,41.0,1488691738.0,false,33.0,C++,1500404314.0,1505339298.0,9.0,3.0,12,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",45489,CodeRepository,cryptocompare,34.0,16.0,ZEN,116180,2017-12-27 21:23:00.244019,https://github.com/zencashio/zen
