Id,Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
219,566,False,446.0,https://www.facebook.com/ionomy/,Ionomy,Facebook,cryptocompare,ION,20591,12.0,2017-12-28 01:44:39.491778
220,609,False,469.0,https://www.facebook.com/IoPCommunity/,Fermat,Facebook,cryptocompare,IOP,42596,14.0,2017-12-28 01:44:40.130852
221,0,,,,,Facebook,cryptocompare,IOT,127356,,2017-12-27 21:23:10.200312
222,0,,,,,Facebook,cryptocompare,ISL,6094,,2017-12-28 01:44:41.357187
223,0,,,,,Facebook,cryptocompare,ITT,232678,,2017-12-28 01:44:41.784104
224,0,,,,,Facebook,cryptocompare,IW,34334,,2017-12-28 01:44:42.304670
225,1526,False,1206.0,https://www.facebook.com/iXledger/,iXledger,Facebook,cryptocompare,IXT,141171,32.0,2017-12-28 01:44:42.837039
226,0,,,,,Facebook,cryptocompare,J,5335,,2017-12-28 01:44:43.449006
227,0,,,,,Facebook,cryptocompare,JANE,44955,,2017-12-28 01:44:44.282247
228,0,,,,,Facebook,cryptocompare,JBS,4542,,2017-12-28 01:44:44.690107
229,0,,,,,Facebook,cryptocompare,JOK,42101,,2017-12-28 01:44:45.269179
230,0,,,,,Facebook,cryptocompare,JPC*,371902,,2017-12-28 01:44:45.681704
231,0,,,,,Facebook,cryptocompare,KARM,16127,,2017-12-28 01:44:46.310442
232,0,,,,,Facebook,cryptocompare,LKK,130939,,2017-12-27 21:23:19.714208
233,8235,False,7865.0,https://www.facebook.com/litecoincommunity/,Litecoin,Facebook,cryptocompare,LTC,3808,37.0,2017-12-27 15:53:42.766207
234,0,,,,,Facebook,cryptocompare,LYB,13281,,2017-12-27 21:23:26.478494
235,0,,,,,Facebook,cryptocompare,MAD,131079,,2017-12-27 21:23:21.881367
236,0,,,,,Facebook,cryptocompare,MAPC,12223,,2017-12-27 21:23:07.599362
237,0,,,,,Facebook,cryptocompare,MAT*,108094,,2017-12-27 21:22:54.661572
238,0,,,,,Facebook,cryptocompare,MCAP,131154,,2017-12-27 21:23:24.292052
239,0,,,,,Facebook,cryptocompare,MI,12225,,2017-12-27 21:23:09.273188
240,0,,,,,Facebook,cryptocompare,MMC,5389,,2017-12-28 01:45:54.743403
241,0,,,,,Facebook,cryptocompare,MMXVI,36992,,2017-12-28 01:45:55.224867
242,0,,,,,Facebook,cryptocompare,MN,4563,,2017-12-28 01:45:56.116467
243,5731,False,5651.0,https://www.facebook.com/mincoin.us/,Mincoin,Facebook,cryptocompare,MNC,4564,8.0,2017-12-28 01:45:56.737921
244,0,,,,,Facebook,cryptocompare,MND,15888,,2017-12-28 01:45:57.189687
245,0,,,,,Facebook,cryptocompare,MNX,389849,,2017-12-28 01:45:58.269244
246,0,,,,,Facebook,cryptocompare,MNY,208001,,2017-12-28 01:45:58.832729
247,0,,,,,Facebook,cryptocompare,MONETA,30364,,2017-12-28 01:45:59.871978
248,0,,,,,Facebook,cryptocompare,MRS,5410,,2017-12-28 01:46:00.815345
249,0,,,,,Facebook,cryptocompare,MTR,5340,,2017-12-28 01:46:01.223964
