Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
47.0,224,18718,7145,43.0,CryptoCompare,cryptocompare,EMC,15876,2018-01-01 15:09:32.979701
47,224,18718,7145,43,CryptoCompare,cryptocompare,EMC,15876,2018-01-01 15:12:55.316367
717.0,2974,373700,91420,396.0,CryptoCompare,cryptocompare,EOS,166503,2018-01-01 15:09:32.885345
717,2974,373700,91420,396,CryptoCompare,cryptocompare,EOS,166503,2018-01-01 15:12:55.705100
18,44,4732,1730,18,CryptoCompare,cryptocompare,EQT,105263,2018-01-01 15:12:52.310620
18.0,44,4732,1730,18.0,CryptoCompare,cryptocompare,EQT,105263,2018-01-01 15:09:32.728464
23.0,51,3166,2155,26.0,CryptoCompare,cryptocompare,ESP,130951,2018-01-01 15:09:31.436124
23,51,3166,2155,26,CryptoCompare,cryptocompare,ESP,130951,2018-01-01 15:12:54.226935
43.0,410,43575,12080,56.0,CryptoCompare,cryptocompare,EXP,12194,2018-01-01 15:09:30.323673
43,410,43575,12080,56,CryptoCompare,cryptocompare,EXP,12194,2018-01-01 15:12:53.388569
,16,2861,475,3,CryptoCompare,cryptocompare,F16,108099,2018-01-01 15:12:54.187938
,16,2861,475,3.0,CryptoCompare,cryptocompare,F16,108099,2018-01-01 15:09:31.763789
206.0,1362,101590,42585,259.0,CryptoCompare,cryptocompare,FCT,13280,2018-01-01 15:09:32.115633
206,1362,101590,42585,259,CryptoCompare,cryptocompare,FCT,13280,2018-01-01 15:12:54.362078
37.0,98,14108,3695,35.0,CryptoCompare,cryptocompare,GCR,12217,2018-01-01 15:09:30.824110
37,98,14108,3695,35,CryptoCompare,cryptocompare,GCR,12217,2018-01-01 15:12:54.138148
46,418,55232,12285,55,CryptoCompare,cryptocompare,GRS,13070,2018-01-01 15:12:54.136971
46.0,418,55232,12285,55.0,CryptoCompare,cryptocompare,GRS,13070,2018-01-01 15:09:32.685787
,13,1470,350,1.0,CryptoCompare,cryptocompare,HAMS,112363,2018-01-01 15:09:30.184016
,13,1470,350,1,CryptoCompare,cryptocompare,HAMS,112363,2018-01-01 15:12:52.379128
3,10,2005,355,3,CryptoCompare,cryptocompare,HIRE*,15882,2018-01-01 15:12:55.648487
3.0,10,2005,355,3.0,CryptoCompare,cryptocompare,HIRE*,15882,2018-01-01 15:09:32.852257
1.0,6,736,210,2.0,CryptoCompare,cryptocompare,HRB,176336,2018-01-01 15:09:33.650506
1,6,736,210,2,CryptoCompare,cryptocompare,HRB,176336,2018-01-01 15:12:56.731347
,14,1462,350,,CryptoCompare,cryptocompare,I0C,16123,2018-01-01 15:09:33.410461
,36,2952,1025,5.0,CryptoCompare,cryptocompare,INSN,105284,2018-01-01 15:09:29.554562
,36,2952,1025,5,CryptoCompare,cryptocompare,INSN,105284,2018-01-01 15:12:53.439901
24109,13066,2929457,783890,8646,CryptoCompare,cryptocompare,IOT,127356,2018-01-01 15:12:53.953096
24109.0,13066,2929457,783890,8646.0,CryptoCompare,cryptocompare,IOT,127356,2018-01-01 15:09:30.986263
4,110,18092,3015,9,CryptoCompare,cryptocompare,IXT,141171,2018-01-01 15:12:54.903544
4.0,110,18092,3015,9.0,CryptoCompare,cryptocompare,IXT,141171,2018-01-01 15:09:31.833975
1,5,1136,160,1,CryptoCompare,cryptocompare,KARM,16127,2018-01-01 15:12:56.005975
