CoinName,Points,Type,Name,socialsource,source,symbol,symbol_id,timestamp_api_call
Rivetz,21825,Webpagecoinp,RVT,General,cryptocompare,RVT,176280,2018-01-01 15:09:33.513857
Siacoin,162992,Webpagecoinp,SC,General,cryptocompare,SC,13072,2018-01-01 15:09:32.252155
Sequence,4514,Webpagecoinp,SEQ,General,cryptocompare,SEQ,131112,2018-01-01 15:09:32.874498
Skycoin,2280,Webpagecoinp,SKY,General,cryptocompare,SKY,136269,2018-01-01 15:09:32.446734
SONM,36773,Webpagecoinp,SNM,General,cryptocompare,SNM,136244,2018-01-01 15:09:32.238357
Status Network Token,105167,Webpagecoinp,SNT,General,cryptocompare,SNT,137013,2018-01-01 15:09:32.056769
Starta,7319,Webpagecoinp,STA,General,cryptocompare,STA,150519,2018-01-01 15:09:33.364660
Subscriptio,553,Webpagecoinp,SUB*,General,cryptocompare,SUB*,100944,2018-01-01 15:09:30.945184
Suretly,3139,Webpagecoinp,SUR,General,cryptocompare,SUR,177462,2018-01-01 15:09:33.735184
True Flip Lottery,118177,Webpagecoinp,TFL,General,cryptocompare,TFL,150545,2018-01-01 15:09:32.697664
Blocktix,74710,Webpagecoinp,TIX,General,cryptocompare,TIX,175671,2018-01-01 15:09:33.836986
Transfer,4302,Webpagecoinp,TX,General,cryptocompare,TX,13045,2018-01-01 15:09:31.667823
Ultimate Secure Cash,606,Webpagecoinp,USC,General,cryptocompare,USC,100954,2018-01-01 15:09:30.598021
Tether,27149,Webpagecoinp,USDT,General,cryptocompare,USDT,171986,2018-01-01 15:09:33.618114
Veritaseum,43653,Webpagecoinp,VERI,General,cryptocompare,VERI,136211,2018-01-01 15:09:32.233368
PoisonIvyCoin,346,Webpagecoinp,XPS,General,cryptocompare,XPS,105220,2018-01-01 15:09:30.760331
RaiBlocks,45991,Webpagecoinp,XRB,General,cryptocompare,XRB,172091,2018-01-01 15:09:33.387471
Tezos,109928,Webpagecoinp,XTZ,General,cryptocompare,XTZ,166390,2018-01-01 15:09:33.526215
ZenCash,29058,Webpagecoinp,ZEN,General,cryptocompare,ZEN,116180,2018-01-01 15:09:30.754745
ZrCoin,11217,Webpagecoinp,ZRC,General,cryptocompare,ZRC,129604,2018-01-01 15:09:31.706192
