closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
0,0,0,1495906021,False,0.0,C++,1495906723,1495906044,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5953,CodeRepository,cryptocompare,0.0,0.0,HAMS,112363,2018-01-01 15:09:29.690462,https://github.com/Hamstercoindev/hamstercoin
0,0,0,1447034106,False,1.0,C++,1453135994,1453135779,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2050,CodeRepository,cryptocompare,0.0,1.0,HIRE*,15882,2018-01-01 15:09:32.672795,https://github.com/Bithire/Bithire
0,0,0,1447034106,false,1.0,C++,1453135994,1453135779,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2050,CodeRepository,cryptocompare,0.0,1.0,HIRE*,15882,2018-01-01 15:12:55.306477,https://github.com/Bithire/Bithire
8,18,26,1495188702,False,1.0,JavaScript,1501449203,1500915609,8,4,12,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",216,CodeRepository,cryptocompare,6.0,2.0,HRB,176336,2018-01-01 15:09:33.553240,https://github.com/Tokenate/Harbour
8,18,26,1495188702,false,1.0,JavaScript,1501449203,1500915609,8,4,12,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",216,CodeRepository,cryptocompare,6.0,2.0,HRB,176336,2018-01-01 15:12:56.590053,https://github.com/Tokenate/Harbour
0,0,0,1441791092,false,0.0,C++,1465673643,1441791179,1,0,1,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",53912,CodeRepository,cryptocompare,0.0,3.0,I0C,16123,2018-01-01 15:12:55.409998,https://github.com/domob1812/i0coin
0,0,0,1441791092,False,0.0,C++,1465673643,1441791179,1,0,1,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",53912,CodeRepository,cryptocompare,0.0,3.0,I0C,16123,2018-01-01 15:09:33.223404,https://github.com/domob1812/i0coin
0,2,2,1494061223,false,8.0,C++,1495686805,1509854470,4,0,4,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",3590,CodeRepository,cryptocompare,4.0,5.0,INSN,105284,2018-01-01 15:12:52.820092,https://github.com/CryptoCoderz/INSN
0,2,2,1494061223,False,8.0,C++,1495686805,1509854470,4,0,4,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",3590,CodeRepository,cryptocompare,4.0,5.0,INSN,105284,2018-01-01 15:09:29.363167,https://github.com/CryptoCoderz/INSN
0,0,0,1391489213,false,7.0,TypeScript,1392885589,1493682786,2,0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",3712,CodeRepository,cryptocompare,2.0,2.0,KARM,16127,2018-01-01 15:12:55.526818,https://github.com/karmacoin-team/karmacoin
