Points,account_creation,favourites,followers,following,link,lists,name,socialsource,source,statuses,symbol,symbol_id,timestamp_api_call
375,1470825689,16,295,518,https://twitter.com/BenjiRolls,16,[BENJI] BenjiRolls,Twitter,cryptocompare,16,BENJI,71884,2017-12-30 17:56:50.264300
265,1456101211,63,159,220,https://twitter.com/berncash,21,berncoin,Twitter,cryptocompare,1564,BERN,20817,2017-12-30 17:55:51.588081
211,1483285514,0,176,0,https://twitter.com/BBlockchain,7,Blockchain.Best,Twitter,cryptocompare,2,BEST,56246,2017-12-30 17:56:45.955425
585,1385066056,0,465,708,https://twitter.com/Betacoin,24,Betacoin,Twitter,cryptocompare,70,BET,4337,2017-12-30 17:56:31.144582
5185,1474806380,664,4810,224,https://twitter.com/daocasino,75,DAO.casino,Twitter,cryptocompare,313,BET*,177831,2017-12-30 17:55:43.685427
0,,,,,,,,Twitter,cryptocompare,,BFX,25238,2017-12-30 17:56:02.473237
0,,,,,,,,Twitter,cryptocompare,,BHC,29559,2017-12-30 17:56:09.849210
480,1495352912,1,475,2192,https://twitter.com/blackholecoin8,1,blackholecoin,Twitter,cryptocompare,67,BHC*,369029,2017-12-30 17:56:23.971334
3009,1481006899,218,2839,3148,https://twitter.com/BikerCoins,34,BikerCoin,Twitter,cryptocompare,224,BIC,41587,2017-12-30 17:56:28.025459
306,1438717733,2,236,313,https://twitter.com/BigUpKing,14,BigUp!!,Twitter,cryptocompare,88,BIGUP,20819,2017-12-30 17:55:52.543718
723,1503673066,2115,638,308,https://twitter.com/biocoinproject,17,Biocoin,Twitter,cryptocompare,806,BIO,484355,2017-12-30 17:56:39.529928
578,1488798474,16,563,765,https://twitter.com/BioBar_Crypto,3,BioBar,Twitter,cryptocompare,18,BIOB,50734,2017-12-30 17:56:40.257939
1121,1321987111,2435,950,441,https://twitter.com/vanyabios,34,VANYA BIOS,Twitter,cryptocompare,1963,BIOS,20209,2017-12-30 17:55:49.310915
0,,,,,,,,Twitter,cryptocompare,,BIP,33936,2017-12-30 17:56:18.013993
5507,1368693058,1276,4980,2193,https://twitter.com/CryptoBismuth,105,Crypto Bismuth,Twitter,cryptocompare,2623,BIS,322963,2017-12-30 17:56:13.000727
242,1430235964,2,222,103,https://twitter.com/16bit_coin,4,16BITCOIN [NIST 5],Twitter,cryptocompare,16,BIT16,22333,2017-12-30 17:55:59.503684
7776,1424060815,693,7091,250,https://twitter.com/BitBeanCoin,137,Bean Cash,Twitter,cryptocompare,994,BITB,4338,2017-12-30 17:56:30.894750
0,,,,,,,,Twitter,cryptocompare,,BITCNY,28019,2017-12-30 17:56:03.055038
663,1486585190,12,608,509,https://twitter.com/bitokonline,11,BitOK,Twitter,cryptocompare,11,BITOK,81445,2017-12-30 17:56:51.543126
