close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
351.4,1,JordanManual,CCCAGG,351.49,351.4,351.49,VERI,1514786400,2018-01-01 14:51:31.544669,0.0,0.0
350.1,1,JordanManual,CCCAGG,350.58,350.1,350.58,VERI,1514786580,2018-01-01 14:51:31.544669,0.0,0.0
350.19,1,JordanManual,CCCAGG,350.32,350.19,350.28,VERI,1514786760,2018-01-01 14:51:31.544669,0.0,0.0
350.42,1,JordanManual,CCCAGG,350.46,350.38,350.38,VERI,1514786940,2018-01-01 14:51:31.544669,0.0,0.0
350.85,1,JordanManual,CCCAGG,351.13,350.85,351.05,VERI,1514787120,2018-01-01 14:51:31.544669,0.0,0.0
350.15,1,JordanManual,CCCAGG,351.02,350.15,351.02,VERI,1514787300,2018-01-01 14:51:31.544669,2.25,788.65
350.63,1,JordanManual,CCCAGG,350.63,350.49,350.49,VERI,1514787480,2018-01-01 14:51:31.544669,0.0,0.0
351.45,1,JordanManual,CCCAGG,351.46,351.31,351.31,VERI,1514787660,2018-01-01 14:51:31.544669,0.0,0.0
352.7,1,JordanManual,CCCAGG,352.7,351.89,351.89,VERI,1514787840,2018-01-01 14:51:31.544669,1.0,352.7
352.82,1,JordanManual,CCCAGG,352.88,352.71,352.71,VERI,1514788020,2018-01-01 14:51:31.544669,0.0,0.0
353.16,1,JordanManual,CCCAGG,353.16,352.87,352.87,VERI,1514788200,2018-01-01 14:51:31.544669,0.0,0.0
353.09,1,JordanManual,CCCAGG,353.13,353.06,353.13,VERI,1514788380,2018-01-01 14:51:31.544669,0.0,0.0
356.44,1,JordanManual,CCCAGG,356.53,353.27,353.27,VERI,1514788560,2018-01-01 14:51:31.544669,0.69,246.01
356.73,1,JordanManual,CCCAGG,356.73,356.44,356.44,VERI,1514788740,2018-01-01 14:51:31.544669,0.0,0.0
357.19,1,JordanManual,CCCAGG,357.19,356.84,356.84,VERI,1514788920,2018-01-01 14:51:31.544669,14.26,5089.01
357.66,1,JordanManual,CCCAGG,357.66,357.41,357.41,VERI,1514789100,2018-01-01 14:51:31.544669,2.2,786.39
358.22,1,JordanManual,CCCAGG,358.22,357.8,357.8,VERI,1514789280,2018-01-01 14:51:31.544669,0.0,0.0
359.79,1,JordanManual,CCCAGG,359.79,358.89,358.89,VERI,1514789460,2018-01-01 14:51:31.544669,20.0,7182.0
360.02,1,JordanManual,CCCAGG,360.02,359.71,359.71,VERI,1514789640,2018-01-01 14:51:31.544669,0.0,0.0
360.92,1,JordanManual,CCCAGG,360.92,360.05,360.05,VERI,1514789820,2018-01-01 14:51:31.544669,2.16,778.92
352.42,1,JordanManual,CCCAGG,361.01,352.42,361.01,VERI,1514790000,2018-01-01 14:51:31.544669,31.46,11093.97
352.62,1,JordanManual,CCCAGG,352.63,352.6,352.6,VERI,1514790180,2018-01-01 14:51:31.544669,1.5,528.93
352.88,1,JordanManual,CCCAGG,352.95,352.63,352.63,VERI,1514790360,2018-01-01 14:51:31.544669,4.82,1700.96
353.38,1,JordanManual,CCCAGG,353.38,352.82,352.82,VERI,1514790540,2018-01-01 14:51:31.544669,1.21,427.59
352.5,1,JordanManual,CCCAGG,352.98,352.5,352.98,VERI,1514790720,2018-01-01 14:51:31.544669,0.5,176.49
351.66,1,JordanManual,CCCAGG,352.72,351.66,352.72,VERI,1514790900,2018-01-01 14:51:31.544669,1.12,395.05
351.15,1,JordanManual,CCCAGG,351.76,351.15,351.55,VERI,1514791080,2018-01-01 14:51:31.544669,0.0,0.0
351.14,1,JordanManual,CCCAGG,351.23,351.14,351.15,VERI,1514791260,2018-01-01 14:51:31.544669,0.0,0.0
350.83,1,JordanManual,CCCAGG,350.89,350.68,350.68,VERI,1514791440,2018-01-01 14:51:31.544669,0.0,0.0
351.47,1,JordanManual,CCCAGG,351.47,351.36,351.36,VERI,1514791620,2018-01-01 14:51:31.544669,0.0,0.0
352.04,1,JordanManual,CCCAGG,352.04,351.64,351.64,VERI,1514791800,2018-01-01 14:51:31.544669,0.0,0.0
351.99,1,JordanManual,CCCAGG,351.99,351.96,351.99,VERI,1514791980,2018-01-01 14:51:31.544669,0.0,0.0
359.5,1,JordanManual,CCCAGG,359.7,357.44,359.7,VERI,1514792160,2018-01-01 14:51:31.544669,0.4,143.82
359.08,1,JordanManual,CCCAGG,359.22,359.08,359.22,VERI,1514792340,2018-01-01 14:51:31.544669,0.0,0.0
358.31,1,JordanManual,CCCAGG,359.03,358.31,359.03,VERI,1514792520,2018-01-01 14:51:31.544669,0.0,0.0
358.04,1,JordanManual,CCCAGG,358.34,358.04,358.34,VERI,1514792700,2018-01-01 14:51:31.544669,0.0,0.0
357.38,1,JordanManual,CCCAGG,357.81,357.38,357.81,VERI,1514792880,2018-01-01 14:51:31.544669,0.0,0.0
357.4,1,JordanManual,CCCAGG,357.43,357.4,357.43,VERI,1514793060,2018-01-01 14:51:31.544669,0.0,0.0
359.36,1,JordanManual,CCCAGG,359.36,357.48,357.48,VERI,1514793240,2018-01-01 14:51:31.544669,0.112,40.23
359.31,1,JordanManual,CCCAGG,359.49,359.31,359.49,VERI,1514793420,2018-01-01 14:51:31.544669,0.0,0.0
358.93,1,JordanManual,CCCAGG,358.93,358.73,358.73,VERI,1514793600,2018-01-01 14:51:31.544669,0.0,0.0
359.12,1,JordanManual,CCCAGG,359.12,358.7,358.7,VERI,1514793780,2018-01-01 14:51:31.544669,0.86,308.48
359.48,1,JordanManual,CCCAGG,359.48,359.11,359.11,VERI,1514793960,2018-01-01 14:51:31.544669,0.0,0.0
