Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
401,401.0,401.0,401.0,401.0,401.0,,,,,0.4373,1,JordanManual,CCCAGG,0.4423,0.4373,0.4423,NUBIS,1514429460.0,2017-12-28 09:27:39.771354,0.0,0.0
402,402.0,402.0,402.0,402.0,402.0,,,,,0.4476,1,JordanManual,CCCAGG,0.4476,0.4443,0.4443,NUBIS,1514429640.0,2017-12-28 09:27:39.771354,0.0,0.0
403,403.0,403.0,403.0,403.0,403.0,,,,,0.4435,1,JordanManual,CCCAGG,0.4492,0.4435,0.4492,NUBIS,1514429820.0,2017-12-28 09:27:39.771354,0.0,0.0
404,404.0,404.0,404.0,404.0,404.0,,,,,0.4492,1,JordanManual,CCCAGG,0.4492,0.4439,0.4439,NUBIS,1514430000.0,2017-12-28 09:27:39.771354,0.0,0.0
405,405.0,405.0,405.0,405.0,405.0,,,,,0.445,1,JordanManual,CCCAGG,0.4476,0.445,0.4464,NUBIS,1514430180.0,2017-12-28 09:27:39.771354,0.0,0.0
406,406.0,406.0,406.0,406.0,406.0,,,,,0.4434,1,JordanManual,CCCAGG,0.4434,0.4409,0.4419,NUBIS,1514430360.0,2017-12-28 09:27:39.771354,0.0,0.0
407,407.0,407.0,407.0,407.0,407.0,,,,,0.4438,1,JordanManual,CCCAGG,0.4461,0.4438,0.4461,NUBIS,1514430540.0,2017-12-28 09:27:39.771354,0.0,0.0
408,408.0,408.0,408.0,408.0,408.0,,,,,0.4505,1,JordanManual,CCCAGG,0.4514,0.4486,0.4486,NUBIS,1514430720.0,2017-12-28 09:27:39.771354,0.0,0.0
409,409.0,409.0,409.0,409.0,409.0,,,,,0.4524,1,JordanManual,CCCAGG,0.4524,0.4506,0.4506,NUBIS,1514430900.0,2017-12-28 09:27:39.771354,0.0,0.0
410,410.0,410.0,410.0,410.0,410.0,,,,,0.452,1,JordanManual,CCCAGG,0.452,0.4512,0.4512,NUBIS,1514431080.0,2017-12-28 09:27:39.771354,0.0,0.0
411,411.0,411.0,411.0,411.0,411.0,,,,,0.4528,1,JordanManual,CCCAGG,0.4535,0.4528,0.4535,NUBIS,1514431260.0,2017-12-28 09:27:39.771354,0.0,0.0
412,412.0,412.0,412.0,412.0,412.0,,,,,0.4517,1,JordanManual,CCCAGG,0.4517,0.4506,0.4506,NUBIS,1514431440.0,2017-12-28 09:27:39.771354,0.0,0.0
413,413.0,413.0,413.0,413.0,413.0,,,,,0.4437,1,JordanManual,CCCAGG,0.4507,0.4437,0.4507,NUBIS,1514431620.0,2017-12-28 09:27:39.771354,0.0,0.0
414,414.0,414.0,414.0,414.0,414.0,,,,,0.4464,1,JordanManual,CCCAGG,0.4468,0.4461,0.4461,NUBIS,1514431800.0,2017-12-28 09:27:39.771354,0.0,0.0
415,415.0,415.0,415.0,415.0,415.0,,,,,0.4395,1,JordanManual,CCCAGG,0.4451,0.4395,0.4451,NUBIS,1514431980.0,2017-12-28 09:27:39.771354,0.0,0.0
416,416.0,416.0,416.0,416.0,416.0,,,,,0.4333,1,JordanManual,CCCAGG,0.438,0.4333,0.438,NUBIS,1514432160.0,2017-12-28 09:27:39.771354,0.0,0.0
417,417.0,417.0,417.0,417.0,417.0,,,,,0.441,1,JordanManual,CCCAGG,0.441,0.4322,0.4322,NUBIS,1514432340.0,2017-12-28 09:27:39.771354,0.0,0.0
418,418.0,418.0,418.0,418.0,418.0,,,,,0.4423,1,JordanManual,CCCAGG,0.4423,0.4386,0.4386,NUBIS,1514432520.0,2017-12-28 09:27:39.771354,0.0,0.0
419,419.0,419.0,419.0,419.0,419.0,,,,,0.4443,1,JordanManual,CCCAGG,0.445,0.4431,0.445,NUBIS,1514432700.0,2017-12-28 09:27:39.771354,0.0,0.0
420,420.0,420.0,420.0,420.0,420.0,,,,,0.4442,1,JordanManual,CCCAGG,0.4447,0.4436,0.4436,NUBIS,1514432880.0,2017-12-28 09:27:39.771354,0.0,0.0
421,421.0,421.0,421.0,421.0,421.0,,,,,0.4485,1,JordanManual,CCCAGG,0.4493,0.4454,0.4454,NUBIS,1514433060.0,2017-12-28 09:27:39.771354,0.0,0.0
422,422.0,422.0,422.0,422.0,422.0,,,,,0.4488,1,JordanManual,CCCAGG,0.4497,0.4486,0.4486,NUBIS,1514433240.0,2017-12-28 09:27:39.771354,0.0,0.0
423,423.0,423.0,423.0,423.0,423.0,,,,,0.4461,1,JordanManual,CCCAGG,0.4468,0.4461,0.4464,NUBIS,1514433420.0,2017-12-28 09:27:39.771354,0.0,0.0
424,424.0,424.0,424.0,424.0,424.0,,,,,0.4449,1,JordanManual,CCCAGG,0.448,0.4449,0.448,NUBIS,1514433600.0,2017-12-28 09:27:39.771354,0.0,0.0
425,425.0,425.0,425.0,425.0,425.0,,,,,0.4394,1,JordanManual,CCCAGG,0.4445,0.4394,0.4445,NUBIS,1514433780.0,2017-12-28 09:27:39.771354,0.0,0.0
426,426.0,426.0,426.0,426.0,426.0,,,,,0.4417,1,JordanManual,CCCAGG,0.442,0.4393,0.4393,NUBIS,1514433960.0,2017-12-28 09:27:39.771354,0.0,0.0
