Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
89,89.0,89.0,89.0,89.0,89.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514373300.0,2017-12-28 09:08:52.177156,0.0,0.0
90,90.0,90.0,90.0,90.0,90.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514373480.0,2017-12-28 09:08:52.177156,0.0,0.0
91,91.0,91.0,91.0,91.0,91.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514373660.0,2017-12-28 09:08:52.177156,0.0,0.0
92,92.0,92.0,92.0,92.0,92.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514373840.0,2017-12-28 09:08:52.177156,100.57,13.087
93,93.0,93.0,93.0,93.0,93.0,0.12,1,JordanManual,CCCAGG,0.15,0.12,0.15,PQT,1514374020.0,2017-12-28 09:08:52.177156,251.26,30.16
94,94.0,94.0,94.0,94.0,94.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514374200.0,2017-12-28 09:08:52.177156,114.15,13.7
95,95.0,95.0,95.0,95.0,95.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514374380.0,2017-12-28 09:08:52.177156,0.0,0.0
96,96.0,96.0,96.0,96.0,96.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514374560.0,2017-12-28 09:08:52.177156,0.0,0.0
97,97.0,97.0,97.0,97.0,97.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514374740.0,2017-12-28 09:08:52.177156,0.0,0.0
98,98.0,98.0,98.0,98.0,98.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514374920.0,2017-12-28 09:08:52.177156,0.0,0.0
99,99.0,99.0,99.0,99.0,99.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514375100.0,2017-12-28 09:08:52.177156,0.0,0.0
100,100.0,100.0,100.0,100.0,100.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514375280.0,2017-12-28 09:08:52.177156,0.0,0.0
101,101.0,101.0,101.0,101.0,101.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514375460.0,2017-12-28 09:08:52.177156,0.0,0.0
102,102.0,102.0,102.0,102.0,102.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514375640.0,2017-12-28 09:08:52.177156,0.0,0.0
103,103.0,103.0,103.0,103.0,103.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514375820.0,2017-12-28 09:08:52.177156,0.0,0.0
104,104.0,104.0,104.0,104.0,104.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514376000.0,2017-12-28 09:08:52.177156,0.0,0.0
105,105.0,105.0,105.0,105.0,105.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514376180.0,2017-12-28 09:08:52.177156,0.0,0.0
106,106.0,106.0,106.0,106.0,106.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514376360.0,2017-12-28 09:08:52.177156,0.0,0.0
107,107.0,107.0,107.0,107.0,107.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514376540.0,2017-12-28 09:08:52.177156,0.0,0.0
108,108.0,108.0,108.0,108.0,108.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514376720.0,2017-12-28 09:08:52.177156,0.0,0.0
109,109.0,109.0,109.0,109.0,109.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514376900.0,2017-12-28 09:08:52.177156,0.0,0.0
110,110.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514377080.0,2017-12-28 09:49:31.453027,0.0,0.0
111,111.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514377260.0,2017-12-28 09:49:31.453027,0.0,0.0
112,112.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514377440.0,2017-12-28 09:49:31.453027,0.0,0.0
113,113.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514377620.0,2017-12-28 09:49:31.453027,0.0,0.0
114,114.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514377800.0,2017-12-28 09:49:31.453027,0.0,0.0
115,115.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514377980.0,2017-12-28 09:49:31.453027,0.0,0.0
116,116.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514378160.0,2017-12-28 09:49:31.453027,0.0,0.0
117,117.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514378340.0,2017-12-28 09:49:31.453027,0.0,0.0
118,118.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514378520.0,2017-12-28 09:49:31.453027,0.0,0.0
119,119.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514378700.0,2017-12-28 09:49:31.453027,0.0,0.0
120,120.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514378880.0,2017-12-28 09:49:31.453027,0.0,0.0
121,121.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514379060.0,2017-12-28 09:49:31.453027,0.0,0.0
122,122.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514379240.0,2017-12-28 09:49:31.453027,0.0,0.0
123,123.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514379420.0,2017-12-28 09:49:31.453027,0.0,0.0
124,124.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514379600.0,2017-12-28 09:49:31.453027,0.0,0.0
125,125.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514379780.0,2017-12-28 09:49:31.453027,0.0,0.0
