Id,Id,Id.1,Id.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
151,151.0,151.0,151.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514357100,2017-12-28 01:33:07.151351,15000.0,3364.5
152,152.0,152.0,152.0,0.2243,1,JordanManual,CCCAGG,0.2245,0.223,0.223,XLM,1514357280,2017-12-28 01:33:07.151351,2249.26,504.82
153,153.0,153.0,153.0,0.2243,1,JordanManual,CCCAGG,0.2243,0.2243,0.2243,XLM,1514357460,2017-12-28 01:33:07.151351,3038.34,678.86
154,154.0,154.0,154.0,0.2243,1,JordanManual,CCCAGG,0.2243,0.2243,0.2243,XLM,1514357640,2017-12-28 01:33:07.151351,4928.47,1099.07
155,155.0,155.0,155.0,0.2243,1,JordanManual,CCCAGG,0.2243,0.2243,0.2243,XLM,1514357820,2017-12-28 01:33:07.151351,2520.43,560.63
156,156.0,156.0,156.0,0.222,1,JordanManual,CCCAGG,0.223,0.222,0.222,XLM,1514358000,2017-12-28 01:33:07.151351,42828.61,9514.36
157,157.0,157.0,157.0,0.222,1,JordanManual,CCCAGG,0.222,0.222,0.222,XLM,1514358180,2017-12-28 01:33:07.151351,237885.37,52821.0
158,158.0,158.0,158.0,0.2237,1,JordanManual,CCCAGG,0.2237,0.222,0.222,XLM,1514358360,2017-12-28 01:33:07.151351,2249.06,501.32
159,159.0,159.0,159.0,0.2237,1,JordanManual,CCCAGG,0.2237,0.2237,0.2237,XLM,1514358540,2017-12-28 01:33:07.151351,24853.26,5556.99
160,160.0,160.0,160.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514358720,2017-12-28 01:33:07.151351,12593.31,2809.88
161,161.0,161.0,161.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514358900,2017-12-28 01:33:07.151351,2612.62,584.75
162,162.0,162.0,162.0,0.2238,1,JordanManual,CCCAGG,0.224,0.223,0.223,XLM,1514359080,2017-12-28 01:33:07.151351,107018.16,23945.73
163,163.0,163.0,163.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514359260,2017-12-28 01:33:07.151351,26158.32,5854.24
164,164.0,164.0,164.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514359440,2017-12-28 01:33:07.151351,2389.77,534.75
165,165.0,165.0,165.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514359620,2017-12-28 01:33:07.151351,114051.73,25516.65
166,166.0,166.0,166.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514359800,2017-12-28 01:33:07.151351,17140.95,3836.15
167,167.0,167.0,167.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514359980,2017-12-28 01:33:07.151351,759.42,169.43
168,168.0,168.0,168.0,0.2231,1,JordanManual,CCCAGG,0.2231,0.2231,0.2231,XLM,1514360160,2017-12-28 01:33:07.151351,106917.13,23853.24
169,169.0,169.0,169.0,0.2231,1,JordanManual,CCCAGG,0.2231,0.2231,0.2231,XLM,1514360340,2017-12-28 01:33:07.151351,14041.61,3133.11
170,170.0,170.0,170.0,0.2231,1,JordanManual,CCCAGG,0.2237,0.2231,0.2231,XLM,1514360520,2017-12-28 01:33:07.151351,69334.89,15456.81
171,171.0,171.0,171.0,0.2222,1,JordanManual,CCCAGG,0.2231,0.2222,0.2231,XLM,1514360700,2017-12-28 01:33:07.151351,13407.96,2979.25
172,172.0,172.0,172.0,0.2219,1,JordanManual,CCCAGG,0.2222,0.2218,0.2222,XLM,1514360880,2017-12-28 01:33:07.151351,145720.2,32146.34
173,173.0,173.0,173.0,0.2219,1,JordanManual,CCCAGG,0.2219,0.2219,0.2219,XLM,1514361060,2017-12-28 01:33:07.151351,71658.4,15789.78
174,174.0,174.0,174.0,0.22,1,JordanManual,CCCAGG,0.2219,0.22,0.2219,XLM,1514361240,2017-12-28 01:33:07.151351,150136.61,33116.32
175,175.0,175.0,175.0,0.22,1,JordanManual,CCCAGG,0.22,0.22,0.22,XLM,1514361420,2017-12-28 01:33:07.151351,77659.38,17085.6
176,176.0,176.0,176.0,0.22,1,JordanManual,CCCAGG,0.22,0.22,0.22,XLM,1514361600,2017-12-28 01:33:07.151351,27205.31,6042.87
177,177.0,177.0,177.0,0.22,1,JordanManual,CCCAGG,0.22,0.22,0.22,XLM,1514361780,2017-12-28 01:33:07.151351,7486.5,1669.49
178,178.0,178.0,178.0,0.22,1,JordanManual,CCCAGG,0.22,0.22,0.22,XLM,1514361960,2017-12-28 01:33:07.151351,51595.09,11563.84
179,179.0,179.0,179.0,0.2248,1,JordanManual,CCCAGG,0.2248,0.2234,0.2248,XLM,1514362140,2017-12-28 01:33:07.151351,11768.25,2643.72
180,180.0,180.0,180.0,0.2248,1,JordanManual,CCCAGG,0.2248,0.2248,0.2248,XLM,1514362320,2017-12-28 01:33:07.151351,35496.52,7950.81
181,181.0,181.0,181.0,0.2248,1,JordanManual,CCCAGG,0.2248,0.2248,0.2248,XLM,1514362500,2017-12-28 01:33:07.151351,35653.26,7954.68
182,182.0,182.0,182.0,0.222,1,JordanManual,CCCAGG,0.2248,0.222,0.2248,XLM,1514362680,2017-12-28 01:33:07.151351,20236.09,4492.63
183,183.0,183.0,183.0,0.222,1,JordanManual,CCCAGG,0.222,0.222,0.222,XLM,1514362860,2017-12-28 01:33:07.151351,495.62,111.1
184,184.0,184.0,184.0,0.222,1,JordanManual,CCCAGG,0.222,0.222,0.222,XLM,1514363040,2017-12-28 01:33:07.151351,152630.17,34153.2
185,185.0,185.0,185.0,0.222,1,JordanManual,CCCAGG,0.222,0.222,0.222,XLM,1514363220,2017-12-28 01:33:07.151351,171493.83,38354.4
186,186.0,186.0,186.0,0.222,1,JordanManual,CCCAGG,0.222,0.222,0.222,XLM,1514363400,2017-12-28 01:33:07.151351,71392.69,15915.35
187,187.0,187.0,187.0,0.2232,1,JordanManual,CCCAGG,0.2232,0.222,0.222,XLM,1514363580,2017-12-28 01:33:07.151351,19484.23,4341.57
188,188.0,188.0,188.0,0.2232,1,JordanManual,CCCAGG,0.2232,0.2232,0.2232,XLM,1514363760,2017-12-28 01:33:07.151351,38960.04,8716.46
189,189.0,189.0,189.0,0.2232,1,JordanManual,CCCAGG,0.2232,0.2232,0.2232,XLM,1514363940,2017-12-28 01:33:07.151351,13053.69,2897.99
190,190.0,190.0,190.0,0.222,1,JordanManual,CCCAGG,0.222,0.222,0.222,XLM,1514364120,2017-12-28 01:33:07.151351,2452.85,544.35
191,191.0,191.0,191.0,0.223,1,JordanManual,CCCAGG,0.223,0.222,0.222,XLM,1514364300,2017-12-28 01:33:07.151351,25765.01,5721.09
192,192.0,192.0,192.0,0.223,1,JordanManual,CCCAGG,0.2239,0.223,0.2239,XLM,1514364480,2017-12-28 01:33:07.151351,31280.44,6975.14
193,193.0,193.0,193.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514364660,2017-12-28 01:33:07.151351,0.0,0.0
194,194.0,194.0,194.0,0.223,1,JordanManual,CCCAGG,0.224,0.223,0.223,XLM,1514364840,2017-12-28 01:33:07.151351,18200.47,4071.4
195,195.0,195.0,195.0,0.223,1,JordanManual,CCCAGG,0.224,0.223,0.223,XLM,1514365020,2017-12-28 01:33:07.151351,1229.12,274.82
196,196.0,196.0,196.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514365200,2017-12-28 01:33:07.151351,45021.06,10043.33
197,197.0,197.0,197.0,0.2239,1,JordanManual,CCCAGG,0.2239,0.223,0.223,XLM,1514365380,2017-12-28 01:33:07.151351,4447.5,995.98
198,198.0,198.0,198.0,0.223,1,JordanManual,CCCAGG,0.2238,0.223,0.2238,XLM,1514365560,2017-12-28 01:33:07.151351,272847.33,60991.56
199,199.0,199.0,199.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514365740,2017-12-28 01:33:07.151351,64505.76,14417.03
200,200.0,200.0,200.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2235,0.2235,XLM,1514365920,2017-12-28 01:33:07.151351,167487.45,37482.83
