Algorithm,CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,CoinName,FLAGS,FROMSYMBOL,FullName,FullyPremined,HIGH24HOUR,HIGHDAY,Id,ImageUrl,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,Name,OPEN24HOUR,OPENDAY,PRICE,PreMinedValue,ProofType,SUPPLY,SortOrder,Sponsored,Symbol,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,TotalCoinSupply,TotalCoinsFreeFloat,Url,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,source,timestamp_api_call
X11,,,,,Transfer,,,Transfer (TX),0.0,,,13045.0,/media/20722/tx.png,,,,,,,,,,TX,,,,,PoW/PoS,,471.0,0.0,TX,,,,,0,,/coins/tx/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Groestl,,,,,Groestlcoin ,,,Groestlcoin  (GRS),0.0,,,13070.0,/media/20309/grs.png,,,,,,,,,,GRS,,,,,PoW,,472.0,0.0,GRS,,,,,105000000,,/coins/grs/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Blake2b,,,,,Siacoin,,,Siacoin (SC),0.0,,,13072.0,/media/20726/siacon-logo.png,,,,,,,,,,SC,,,,,PoW,,473.0,0.0,SC,,,,,0,,/coins/sc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,CleverCoin,,,CleverCoin (CLV),0.0,,,13074.0,/media/20727/clv.png,,,,,,,,,,CLV,,,,,PoS/PoW,,474.0,0.0,CLV,,,,,0,,/coins/clv/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Lykke,,,Lykke (LKK),1.0,,,130939.0,/media/1383553/lkk.png,,,,,,,,,,LKK,,,,,,,1253.0,0.0,LKK,,,,,1285690000,,/coins/lkk/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
HMQ1725,,,,,Espers,,,Espers (ESP),0.0,,,130951.0,/media/14761907/esp.png,,,,,,,,,,ESP,,,,,PoW/PoS,,1254.0,0.0,ESP,,,,,50000000000,,/coins/esp/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
PoS,,,,,SatoshiMadness,,,SatoshiMadness (MAD),0.0,,,131079.0,/media/1383556/mad.png,,,,,,,,,,MAD,,,,,PoS,,1255.0,0.0,MAD,,,,,2000000000,,/coins/mad/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Argon2,,,,,Dynamic,,,Dynamic (DYN),0.0,,,131111.0,/media/1383557/dyn.png,,,,,,,,,,DYN,,,,,PoW,,1256.0,0.0,DYN,,,,,44738100,,/coins/dyn/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,,Sequence,,,Sequence (SEQ),0.0,,,131112.0,/media/1383558/seq.png,,,,,,,,,,SEQ,,,,,PoW/PoS,,1257.0,0.0,SEQ,,,,,,,/coins/seq/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,MCAP,,,MCAP (MCAP),0.0,,,131154.0,/media/1383559/mcap.png,,,,,,,,,,MCAP,,,,,,,1258.0,0.0,MCAP,,,,,100000000,,/coins/mcap/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Factoids,,,Factoids (FCT),1.0,,,13280.0,/media/1382863/fct1.png,,,,,,,,,,FCT,,,,,,,475.0,0.0,FCT,,,,,8753873,,/coins/fct/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Lyra2RE,,,,,LyraBar,,,LyraBar (LYB),0.0,,,13281.0,/media/20339/lyb.png,,,,,,,,,,LYB,,,,,PoW/PoS,,476.0,0.0,LYB,,,,,0,,/coins/lyb/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Mysterium,,,Mysterium (MYST),0.0,,,136190.0,/media/1383561/myst.png,,,,,,,,,,MYST,,,,,,,1259.0,0.0,MYST,,,,,32433366,,/coins/myst/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Veritaseum,,,Veritaseum (VERI),0.0,,,136211.0,/media/1383562/veri.png,,,,,,,,,,VERI,,,,,,,1260.0,0.0,VERI,,,,,100000000,,/coins/veri/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
